gta06_hhld,age,total,Mode
5161,35,55,Transit (Excluding GO rail)
5161,38,58,Transit (Excluding GO rail)
5161,43,170,Transit (Excluding GO rail)
5161,52,110,Transit (Excluding GO rail)
5162,29,56,Transit (Excluding GO rail)
5163,16,58,Transit (Excluding GO rail)
5163,39,58,Transit (Excluding GO rail)
5163,45,81,Transit (Excluding GO rail)
5163,58,48,Transit (Excluding GO rail)
5163,61,96,Transit (Excluding GO rail)
5163,64,96,Transit (Excluding GO rail)
5163,66,79,Transit (Excluding GO rail)
5163,84,30,Transit (Excluding GO rail)
5164,13,123,Transit (Excluding GO rail)
5164,15,276,Transit (Excluding GO rail)
5164,21,72,Transit (Excluding GO rail)
5164,22,39,Transit (Excluding GO rail)
5164,23,75,Transit (Excluding GO rail)
5164,25,163,Transit (Excluding GO rail)
5164,30,183,Transit (Excluding GO rail)
5164,31,184,Transit (Excluding GO rail)
5164,38,185,Transit (Excluding GO rail)
5164,41,99,Transit (Excluding GO rail)
5164,52,52,Transit (Excluding GO rail)
5164,54,19,Transit (Excluding GO rail)
5164,55,96,Transit (Excluding GO rail)
5164,56,170,Transit (Excluding GO rail)
5164,65,81,Transit (Excluding GO rail)
5164,73,92,Transit (Excluding GO rail)
5164,77,10,Transit (Excluding GO rail)
5165,28,43,Transit (Excluding GO rail)
5165,46,81,Transit (Excluding GO rail)
5165,50,94,Transit (Excluding GO rail)
5165,58,86,Transit (Excluding GO rail)
5165,86,28,Transit (Excluding GO rail)
5166,15,42,Transit (Excluding GO rail)
5166,17,161,Transit (Excluding GO rail)
5166,18,58,Transit (Excluding GO rail)
5166,19,128,Transit (Excluding GO rail)
5166,20,163,Transit (Excluding GO rail)
5166,21,283,Transit (Excluding GO rail)
5166,22,373,Transit (Excluding GO rail)
5166,23,730,Transit (Excluding GO rail)
5166,24,91,Transit (Excluding GO rail)
5166,25,369,Transit (Excluding GO rail)
5166,26,205,Transit (Excluding GO rail)
5166,27,154,Transit (Excluding GO rail)
5166,28,51,Transit (Excluding GO rail)
5166,29,103,Transit (Excluding GO rail)
5166,41,135,Transit (Excluding GO rail)
5166,47,80,Transit (Excluding GO rail)
5166,51,80,Transit (Excluding GO rail)
5166,54,145,Transit (Excluding GO rail)
5166,59,11,Transit (Excluding GO rail)
5166,64,50,Transit (Excluding GO rail)
5166,73,11,Transit (Excluding GO rail)
5167,21,114,Transit (Excluding GO rail)
5167,26,29,Transit (Excluding GO rail)
5167,32,67,Transit (Excluding GO rail)
5167,37,52,Transit (Excluding GO rail)
5167,39,78,Transit (Excluding GO rail)
5167,40,89,Transit (Excluding GO rail)
5167,46,24,Transit (Excluding GO rail)
5167,68,20,Transit (Excluding GO rail)
5168,20,144,Transit (Excluding GO rail)
5168,24,70,Transit (Excluding GO rail)
5168,25,106,Transit (Excluding GO rail)
5168,26,34,Transit (Excluding GO rail)
5168,30,47,Transit (Excluding GO rail)
5168,34,178,Transit (Excluding GO rail)
5168,44,52,Transit (Excluding GO rail)
5168,46,82,Transit (Excluding GO rail)
5168,50,143,Transit (Excluding GO rail)
5168,52,227,Transit (Excluding GO rail)
5168,54,82,Transit (Excluding GO rail)
5168,60,96,Transit (Excluding GO rail)
5168,66,52,Transit (Excluding GO rail)
5168,88,30,Transit (Excluding GO rail)
5168,92,54,Transit (Excluding GO rail)
5170,18,140,Transit (Excluding GO rail)
5170,21,140,Transit (Excluding GO rail)
5170,22,221,Transit (Excluding GO rail)
5170,23,140,Transit (Excluding GO rail)
5170,24,221,Transit (Excluding GO rail)
5170,26,64,Transit (Excluding GO rail)
5170,29,64,Transit (Excluding GO rail)
5170,34,53,Transit (Excluding GO rail)
5170,41,157,Transit (Excluding GO rail)
5170,50,140,Transit (Excluding GO rail)
5170,53,221,Transit (Excluding GO rail)
5170,57,131,Transit (Excluding GO rail)
5170,60,131,Transit (Excluding GO rail)
5170,65,74,Transit (Excluding GO rail)
5170,66,39,Transit (Excluding GO rail)
5170,67,186,Transit (Excluding GO rail)
5170,71,39,Transit (Excluding GO rail)
5170,80,50,Transit (Excluding GO rail)
5170,83,50,Transit (Excluding GO rail)
5170,92,11,Transit (Excluding GO rail)
5171,19,141,Transit (Excluding GO rail)
5171,26,50,Transit (Excluding GO rail)
5171,28,103,Transit (Excluding GO rail)
5171,29,69,Transit (Excluding GO rail)
5171,30,47,Transit (Excluding GO rail)
5171,32,69,Transit (Excluding GO rail)
5171,33,300,Transit (Excluding GO rail)
5171,35,200,Transit (Excluding GO rail)
5171,60,96,Transit (Excluding GO rail)
5171,66,53,Transit (Excluding GO rail)
5171,67,79,Transit (Excluding GO rail)
5172,24,301,Transit (Excluding GO rail)
5172,28,204,Transit (Excluding GO rail)
5172,29,85,Transit (Excluding GO rail)
5172,30,90,Transit (Excluding GO rail)
5172,33,103,Transit (Excluding GO rail)
5172,35,127,Transit (Excluding GO rail)
5172,49,23,Transit (Excluding GO rail)
5172,57,73,Transit (Excluding GO rail)
5172,58,115,Transit (Excluding GO rail)
5172,59,73,Transit (Excluding GO rail)
5172,62,173,Transit (Excluding GO rail)
5174,24,201,Transit (Excluding GO rail)
5174,28,42,Transit (Excluding GO rail)
5174,30,107,Transit (Excluding GO rail)
