Sat Apr 03 2021 20:43:24 GMT-0400 (Eastern Daylight Time) - Run Time: 2080ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Age of person - age
Table: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 

Trip 2016
ROW : gta06_hhld
COLUMN : age

TABLE    : mode_prime (Transit excluding GO rail)

  gta06_hhld         age      total
TABLE    : mode_prime (Auto driver)

  gta06_hhld         age      total
        5001          17        197
        5001          26        141
        5001          31        116
        5001          33        116
        5001          48         99
        5001          49        197
        5001          51         32
        5001          56        493
        5001          57         41
        5001          58         41
        5001          75         40
        5002          30        165
        5002          44         76
        5002          46        294
        5002          47         76
        5002          49        239
        5002          53         80
        5002          58         31
        5002          60         53
        5002          63        105
        5002          65        526
        5002          68         54
        5002          69         80
        5002          70        151
        5002          71        139
        5002          72        275
        5002          73        111
        5002          74        160
        5002          78         57
        5002          80        132
        5002          82        139
        5002          84         13
        5003          26         19
        5003          34         39
        5003          48         26
        5003          49        162
        5003          50        100
        5003          55         38
        5003          56         40
        5003          65         40
        5003          66         40
        5003          69         59
        5003          70         80
        5003          72        145
        5004          20        135
        5004          24        221
        5004          27        138
        5004          29        138
        5004          36        398
        5004          52        406
        5004          53        147
        5004          55         79
        5004          59        276
        5004          60         79
        5004          64         79
        5004          70        117
        5004          73         52
        5004          75        207
        5005          19        129
        5005          21        273
        5005          24        368
        5005          28        323
        5005          29        323
        5005          30        573
        5005          31        863
        5005          32       1008
        5005          33        274
        5005          34        200
        5005          35        833
        5005          36        331
        5005          37        367
        5005          38        134
        5005          39        707
        5005          40        109
        5005          41        148
        5005          42        109
        5005          44        136
        5005          47        735
        5005          48        162
        5005          50        207
        5005          53        849
        5005          55         80
        5005          58         61
        5005          63         34
        5005          78         53
        5006          54         53
        5007          29        210
        5007          37        418
        5007          38        136
        5007          40        277
        5007          42        212
        5007          43         83
        5007          44        135
        5007          45        115
        5007          70         93
        5007          74        135
        5007          78         43
        5007          84         38
        5008          39         37
        5008          52         95
        5008          53         90
        5008          54        190
        5008          56        179
        5008          64         75
        5008          67        101
        5008          72         37
        5009          21        243
        5009          30        187
        5009          31        175
        5009          32        187
        5009          33        187
        5009          34        448
        5009          35        127
        5009          36        250
        5009          37        462
        5009          38         68
        5009          41         96
        5009          42        274
        5009          45        181
        5009          47        119
        5009          50        230
        5009          55        970
        5009          61        448
        5009          62        139
        5009          67        186
        5009          68         81
        5009          78         19
        5009          81        124
        5010          75         17
        5011          54         31
        5011          55        194
        5011          62        408
        5011          67         40
        5012          26        284
        5012          45         24
        5012          46        124
        5012          48        124
        5012          54        355
        5012          57         75
        5012          62         41
        5012          66         40
        5012          67         40
        5012          72         70
        5012          81         16
        5014          54         63
        5014          56         37
        5016          36        230
        5016          43        115
        5016          62        146
        5016          63        137
        5018          43        267
        5018          64        275
        5018          76         31
        5018          78         31
        5020          28         18
        5020          29        137
        5020          31        167
        5020          33        149
        5020          34        388
        5020          35        244
        5020          36         71
        5020          40        183
        5020          41        248
        5020          42         38
        5020          43        182
        5020          45         88
        5020          46        162
        5020          48         37
        5020          49         80
        5020          55        111
        5020          56         30
        5020          64         33
        5020          67         37
        5020          71         88
        5020          75         20
        5020          85         14
        5026          59         43
        5028          52        137
        5028          63        113
        5030          26         44
        5030          28         44
        5030          33         45
        5030          37        194
        5030          42        171
        5030          47        326
        5030          51         55
        5030          53         27
        5030          55         27
        5030          56         44
        5030          58         44
        5030          62        176
        5030          66         45
        5030          70         49
        5032          18        406
        5032          20        161
        5032          21        221
        5032          26        528
        5032          27        294
        5032          28        142
        5032          29        212
        5032          32         76
        5032          34        835
        5032          35        243
        5032          37        247
        5032          38        217
        5032          40        390
        5032          42        211
        5032          43        887
        5032          44        356
        5032          45        247
        5032          46        401
        5032          47        231
        5032          48        402
        5032          49        484
        5032          50        149
        5032          51        192
        5032          52        615
        5032          53         99
        5032          54         18
        5032          56        539
        5032          57         18
        5032          58        651
        5032          59        145
        5032          60        104
        5032          61        168
        5032          64        137
        5032          65        123
        5032          67        153
        5032          68         58
        5032          70         38
        5032          72         83
        5033          36        451
        5033          41        139
        5033          43        931
        5033          68         78
        5035          30         42
        5035          60        439
        5036          18        415
        5036          20        296
        5036          29        187
        5036          38         24
        5036          41        539
        5036          47        592
        5036          49        222
        5036          54        145
        5036          56        157
        5036          62        206
        5036          68        203
        5036          70         28
        5036          72         45
        5036          75         81
        5036          76        162
        5037          29        185
        5037          32         93
        5037          47        167
        5037          52         84
        5037          70         21
        5038          25         13
        5038          27         20
        5038          52         26
        5038          54         26
        5038          59         85
        5039          75         29
        5040          52         87
        5040          55         67
        5040          75         52
        5040          77         28
        5041          18         66
        5041          23        150
        5041          24        181
        5041          25         31
        5041          26         31
        5041          28         83
        5041          29        389
        5041          30        329
        5041          32         14
